question,contexts,answer,ground_truth,question_type,policy_section
How many days of casual leave are employees entitled to each year?,"Casual Leave: 8 days annual entitlement, no carry-forward.","Employees are entitled to 8 days of casual leave per year, which cannot be carried forward.","8 days of casual leave per year, with no carry-forward.",simple,Leave Policy
What is the family floater sum insured under the group health insurance?,"Group Health Insurance: ₹5,00,000 family floater; nil contribution for self.","The group health insurance provides a ₹5,00,000 family floater cover.","₹5,00,000 family floater.",simple,Benefits
How long is the probation period for new employees?,"The probation period is 6 months, during which performance and conduct are assessed.",The probation period is 6 months.,6 months.,simple,Onboarding
What happens if an employee takes leave without manager approval?,Leave without approval is treated as Loss of Pay (LOP). | Breach of conduct may attract disciplinary action under the Code of Conduct.,Unapproved leave is treated as Loss of Pay and may also attract disciplinary action under the Code of Conduct (§3).,It is treated as Loss of Pay (LOP) and may attract action under the Code of Conduct.,multi_context,Leave Policy; Code of Conduct
"Can an employee accept a gift worth 3,000 rupees from a vendor, and how does this relate to anti-bribery rules?","Do not accept gifts exceeding ₹2,000 from any vendor or customer. | Offering or accepting any bribe or undue advantage is strictly prohibited.","No. A ₹3,000 gift exceeds the ₹2,000 limit, and accepting undue advantages also breaches the anti-bribery rule in §3.2.","No; it exceeds the ₹2,000 gift limit and conflicts with the anti-bribery clause.",multi_context,Code of Conduct
How do Provident Fund contributions and gratuity eligibility differ at InsurEdge?,"Provident Fund: 12% of basic, matched by the employer. | Gratuity is payable after 5 years of continuous service at 15 days of last-drawn basic per completed year.","PF is a monthly 12%-of-basic contribution matched by the employer, while gratuity is paid only after 5 years of service at 15 days of basic pay per completed year.",PF is 12% of basic (employer-matched) monthly; gratuity needs 5 years of service and pays 15 days basic per year.,multi_context,Benefits
"If an employee fails a Performance Improvement Plan, what process governs a possible separation?",An employee rated 2 or below is placed on a 90-day PIP. | Failure may lead to separation under §6 due process. | Grievance and disciplinary matters follow §6.,"Failing the 90-day PIP can lead to separation, which must follow the due-process and inquiry steps set out in the Grievance Redressal section (§6).",Separation follows the §6 due-process / inquiry steps after PIP failure.,multi_context,Performance Review; Grievance Redressal
An employee has 20 unused earned-leave days at year-end. How many carry forward and what happens to any excess?,"Earned/Privilege Leave: 18 days entitlement, carry-forward up to 30 days. Excess beyond the cap is encashed each March.",All 20 days carry forward because the cap is 30; nothing is lost. Only days beyond 30 would be encashed in March.,All 20 carry forward (cap is 30); excess beyond 30 would be encashed.,reasoning,Leave Policy
"An employee rated 2 in the annual review wants a promotion this cycle. Is that possible, and what happens first?","Rating 2 = Needs Improvement, placed on a 90-day PIP. Promotion eligibility applies to rating 5 (Outstanding).",No. A rating of 2 means the employee is placed on a 90-day PIP and is not promotion-eligible this cycle; promotion eligibility requires an Outstanding rating.,"No; a rating of 2 triggers a 90-day PIP, not a promotion.",reasoning,Performance Review
A new joiner wants to add their parents to health insurance mid-year. When can they do it and at what cost?,"Parents may be added during the annual enrolment window for an additional ₹6,000 per year, deducted monthly.","They must wait for the annual enrolment window; parents cannot be added mid-year, and the additional premium is ₹6,000 per year.","Only during annual enrolment, at ₹6,000 per year extra.",reasoning,Benefits
A grievance is still unresolved after the manager and HR Business Partner stages. What is the next step and its timeline?,Stage 1: manager (5 days). Stage 2: HR Business Partner (10 days). Stage 3: Grievance Redressal Committee (21 working days).,"The next step is Stage 3 — escalation to the Grievance Redressal Committee, with resolution targeted within 21 working days.","Escalate to the Grievance Redressal Committee (Stage 3), resolved within 21 working days.",reasoning,Grievance Redressal
"If a probationary employee resigns, how much notice must they serve compared with a confirmed employee?",Notice period during probation is 15 days; after confirmation it is 60 days.,"A probationary employee serves 15 days' notice, whereas a confirmed employee must serve 60 days — four times longer.",15 days during probation versus 60 days after confirmation.,reasoning,Onboarding
